,V,B,G
0,-0.834,0.0,0.9033517418710564
1,-0.821,0.0,0.9462571098573622
2,-0.814,0.0,0.9639916497257968
3,-0.807,0.0,1.005578198634168
4,-0.796,0.0,1.0325580414955329
5,-0.787,0.0,1.0670690274587364
6,-0.778,0.0,1.1017277920814206
7,-0.772,0.0,1.1598794801056072
8,-0.761,0.0,1.2117392025333178
9,-0.753,0.0,1.2548288997247572
10,-0.743,0.0,1.3233067039437572
11,-0.732,0.0,1.3678352500490925
12,-0.722,0.0,1.4122551212856178
13,-0.713,0.0,1.481489568282779
14,-0.701,0.0,1.535425296516279
15,-0.691,0.0,1.5722002874588596
16,-0.684,0.0,1.6249581520317935
17,-0.672,0.0,1.6796547703370397
18,-0.66,0.0,1.7261393411745425
19,-0.65,0.0,1.7636201105706824
20,-0.642,0.0,1.817685224009146
21,-0.63,0.0,1.83042495924546
22,-0.625,0.0,1.875189387007237
23,-0.612,0.0,1.9056683727216952
24,-0.61,0.0,1.949681359264391
25,-0.604,0.0,1.9692080143370547
26,-0.592,0.0,1.9996820146483576
27,-0.578,0.0,2.01353350445471
28,-0.574,0.0,2.0412653032321413
29,-0.561,0.0,2.0373161052883098
30,-0.548,0.0,2.0597532456449774
31,-0.538,0.0,2.0811805008923145
32,-0.524,0.0,2.095420460815282
33,-0.513,0.0,2.0908556930003543
34,-0.503,0.0,2.059289621851343
35,-0.493,0.0,2.0188352862872243
36,-0.48,0.0,1.961794586087772
37,-0.473,0.0,1.9024527405065912
38,-0.465,0.0,1.7993671725844331
39,-0.458,0.0,1.748989954977825
40,-0.443,0.0,1.6222711818890083
41,-0.436,0.0,1.5281301795431783
42,-0.428,0.0,1.3821500858302993
43,-0.418,0.0,1.2807057158167954
44,-0.41,0.0,1.1269286678978845
45,-0.397,0.0,1.0438844572774573
46,-0.389,0.0,0.8993879668434174
47,-0.381,0.0,0.8358746474397863
48,-0.367,0.0,0.6973063269894734
49,-0.36,0.0,0.6566745556176419
50,-0.35,0.0,0.5464591218754724
51,-0.339,0.0,0.4986382095470735
52,-0.325,0.0,0.3921771023141482
53,-0.313,0.0,0.3654846005027741
54,-0.304,0.0,0.275015639861205
55,-0.293,0.0,0.2649752245065463
56,-0.283,0.0,0.2092722227423816
57,-0.274,0.0,0.2109001435376807
58,-0.265,0.0,0.1797339479162311
59,-0.252,0.0,0.1504010088360921
60,-0.247,0.0,0.1168677720375441
61,-0.24,0.0,0.1172502128575526
62,-0.231,0.0,0.0932755203368488
63,-0.22,0.0,0.0902526242915825
64,-0.212,0.0,0.0805503675166426
65,-0.204,0.0,0.0835066951874716
66,-0.195,0.0,0.0667204780707067
67,-0.181,0.0,0.062403626241022
68,-0.172,0.0,0.05403825125403
69,-0.163,0.0,0.0568374204797369
70,-0.15,0.0,0.0551158066481025
71,-0.1395,0.0,0.0458755574773257
72,-0.1242,0.0,0.0460565708041771
73,-0.1169,0.0,0.0406617841896005
74,-0.1108,0.0,0.037970015749167
75,-0.1027,0.0,0.0346357824916352
76,-0.0901,0.0,0.0394172201403222
77,-0.0827,0.0,0.022440492702426
78,-0.0718,0.0,0.0237997582269471
79,-0.061,0.0,0.0298804972218364
80,-0.0527,0.0,0.0237429964161764
81,-0.04797,0.0,0.0229940729280469
82,-0.039121,0.0,0.0203163482919744
83,-0.03012,0.0,0.0121215702996233
84,-0.0205,0.0,0.010731504432965
85,-0.0103,0.0,0.0133882916758518
86,-0.0033,0.0,0.0166680662736303
87,0.0073,0.0,0.0179322617124465
88,0.0198,0.0,0.0145476509774968
89,0.0283,0.0,0.0177595117097911
90,0.038,0.0,0.0222514407366224
91,0.0469,0.0,0.0215409828535564
92,0.0588,0.0,0.01105301429803
93,0.067,0.0,0.0174258909222247
94,0.078,0.0,0.0173341958537175
95,0.091,0.0,0.022376953338271
96,0.102,0.0,0.020989571616734
97,0.112,0.0,0.0266002043719874
98,0.12,0.0,0.0327915316465425
99,0.131,0.0,0.0358693801219818
100,0.141,0.0,0.0338119211870302
101,0.149,0.0,0.034986519731836
102,0.157,0.0,0.0424460043868586
103,0.163,0.0,0.0386121419140369
104,0.173,0.0,0.0484490730616599
105,0.181,0.0,0.054615224468466
106,0.192,0.0,0.0613240475197305
107,0.199,0.0,0.0729791831927345
108,0.218,0.0,0.0911677350060972
109,0.225,0.0,0.1027480922200069
110,0.238,0.0,0.1176405361020298
